"","...1","site","location","order","family","length","ecomorphology","area_pool","human_influence","method","point","type"
"157",157,"Tegel","Control","Diptera","Psychodidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"158",158,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"159",159,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"160",160,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"161",161,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"162",162,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"163",163,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"164",164,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"165",165,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"166",166,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"167",167,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"168",168,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"169",169,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"170",170,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"171",171,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"172",172,"Tegel","Control","Arachnida","Hydracarina",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"173",173,"Tegel","Control","Oligochaeta",NA,2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"174",174,"Tegel","Control","Oligochaeta",NA,2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"175",175,"Tegel","Control","Oligochaeta",NA,5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"176",176,"Tegel","Control","Oligochaeta",NA,5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"177",177,"Tegel","Control","Oligochaeta",NA,7,2,728,191108.434590873,"kick_net",NA,"aquatic"
"178",178,"Tegel","Control","Oligochaeta",NA,9,2,728,191108.434590873,"kick_net",NA,"aquatic"
"179",179,"Tegel","Control","Oligochaeta",NA,10,2,728,191108.434590873,"kick_net",NA,"aquatic"
"180",180,"Tegel","Control","Oligochaeta",NA,11,2,728,191108.434590873,"kick_net",NA,"aquatic"
"181",181,"Tegel","Control","Oligochaeta",NA,11,2,728,191108.434590873,"kick_net",NA,"aquatic"
"182",182,"Tegel","Control","Oligochaeta",NA,24,2,728,191108.434590873,"kick_net",NA,"aquatic"
"183",183,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"184",184,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"185",185,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"186",186,"Tegel","Control","Gastropoda","Hydrobiidae",1,2,728,191108.434590873,"kick_net",NA,"aquatic"
"187",187,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"188",188,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"189",189,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"190",190,"Tegel","Control","Gastropoda","Hydrobiidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"191",191,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"192",192,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"193",193,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"194",194,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"195",195,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"196",196,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"197",197,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"198",198,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"199",199,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"200",200,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"201",201,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"202",202,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"203",203,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"204",204,"Tegel","Control","Gastropoda","Hydrobiidae",3,2,728,191108.434590873,"kick_net",NA,"aquatic"
"205",205,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"206",206,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"207",207,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"208",208,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"209",209,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"210",210,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"211",211,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"212",212,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"213",213,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"214",214,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"215",215,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"216",216,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"217",217,"Tegel","Control","Gastropoda","Hydrobiidae",4,2,728,191108.434590873,"kick_net",NA,"aquatic"
"218",218,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"219",219,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"220",220,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"221",221,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"222",222,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"223",223,"Tegel","Control","Gastropoda","Hydrobiidae",5,2,728,191108.434590873,"kick_net",NA,"aquatic"
"224",224,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"225",225,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"226",226,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"227",227,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"228",228,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"229",229,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"230",230,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"231",231,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"232",232,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"233",233,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"234",234,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"235",235,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"236",236,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"237",237,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"238",238,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"239",239,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"240",240,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"241",241,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"242",242,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"243",243,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"244",244,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
"245",245,"Tegel","Control","Coleoptera","Elmidae",2,2,728,191108.434590873,"kick_net",NA,"aquatic"
